lon,id,lat,operationStatus,stationNameKana,stationNameEng,stationType,postalCode,closingDate,url,fillablePressure,addressKana,stationName,tel,addressJp,openingHours,payment,information,updateDateTime
130.5433443,0002300001,31.5452741,0,カゴシマスイソステーション,Kagoshima hydrogen station,固定式（オフサイト）,890-0072,営業日：火・水曜日、金～日曜日 定休日：月・木曜日,,82MPa,カゴシマシシンエイチョウ,かごしま水素ステーション,099-285-3939,鹿児島市新栄町７－１８,10時～17時,クレジットカードのみ,"※県外よりお越しになられる場合は一度ご連絡下さい。 ＧＷも通常通り営業いたします。





　",2022-05-18T08:00:04Z
134.078623,0002100001,34.3554871,0,タカマツテイサンカブシキガイシャイドウシキスイソステーション,TAKAMATSU TEISAN HYDROGEN STATION,移動式,760-0065,営業日：月曜～金曜 定休日：土曜、日曜、祝日,https://h2-takatei.jp/,82,カガワケンタカマツシアサヒマチ,高松帝酸株式会社　移動式水素ステーション,087-822-5220,香川県高松市朝日町5丁目14-1,10：00～16：30,クレジットカード,"事前予約制となります。
ＨＰより会員登録お願い致します。",2020-12-25T07:30:02Z
134.6802929,0000200039,34.8077191,0,イワタニスイソステーションヒョウゴヒメジ,Iwatani Hydrogen Refueling Station in HyougoHimeji,固定式（オフサイト）,672-8045,営業日：月～水曜日、金～日曜日 定休日：木曜日,http://www.iwatani.co.jp/jpn/,82,ヒョウゴケンヒメジシシカマクナカノダ,イワタニ水素ステーション 兵庫姫路,080-8508-8720,兵庫県姫路市飾磨区中野田1-69,9:00～12:00・13:00～17:00,クレジットカードのみ,"【営業時間のお知らせ】
営業時間: 9:00～17:00 ※12時～13時を休店させて頂きます。定休日: 木曜日",2022-05-18T08:00:05Z
136.2103593,0000200037,36.0950232,0,イワタニスイソステーションフクイトウミョウジ,Iwatani Hydrogen Refueling Station in FukuiToumyouji,固定式（オフサイト）,910-0063,営業日：月～水曜日、金～日曜日 定休日：木曜日,http://www.iwatani.co.jp/jpn/,82,フクイケンフクイシトウミョウジ,イワタニ水素ステーション 福井灯明寺,080-8508-8717,福井県福井市灯明寺4丁目704,9:00～12:00・13:00～17:00,クレジットカードのみ,"12～13時の時間帯に水素ガス運搬用大型車両が出入りします(月に3～4回の予定)。ご迷惑をお掛けしますが何卒ご了承下さい。
■営業時間：　9時～12時、13時～17時(12時～13時閉店）",2022-05-18T08:00:09Z
137.2404873,0002700001,36.7041052,0,スイソステーショントヤマ,hydrogen station toyama,固定式（オフサイト）,930-0835,営業日：月～土　　　 定休日：日曜　／　土曜・祝日（不定休）,https://t-suiso.jp/,79.5,トヤマケントヤマシカミフゴイッチョウメサンバンロクジュウキュウゴウ,水素ステーションとやま,076-464-6870,富山県富山市上冨居1丁目3番69号,10：00～16：00,"現金 or カード(VISA, Mastercardのみ）",予約優先です,2022-05-19T07:00:02Z
134.4748469,0003200003,34.1365686,0,トウアゴウセイスイソシャトルステーションイタノ,Toagosei H2 Shuttle Station Itano,移動式,779-0102,営業日：金曜日・土曜日・日曜日 定休日：　,,90,トクシマケンイタノグンイタノチョウカワバタアザアラテザキ,東亞合成H2水素シャトルステーションいたの,088-679-8733,徳島県板野郡板野町川端字新手崎36-1,10:00～14:00,クレジットカード,本日は、臨時休業いたします。ご利用を予定されていたお客様にはご迷惑をおかけしますが、よろしくお願いします。なお、水素充填をご希望の方は、水素ステーション徳島をご利用ください。,2022-05-15T01:13:13Z
135.1775797,0001100003,34.6706529,0,コウベシチノミヤ,Kobe-Shichinomiya,固定式（オフサイト）,652-0831,営業日：毎日 (*)一部時間帯において遠隔監視型セルフ運転 定休日：水曜午後閉店,https://industry.airliquide.jp/hydrogen-japan,82,コウベシヒョウゴクシチノミヤチョウ,神戸七宮水素ステーション,078-599-6591,神戸市兵庫区七宮町1-1-7,8:00 ～ 18:30,クレジットカードのみ,セルフ充填にはメンバーカードが必要。木～土・月曜の午前はセルフ、火・水曜はセルフのみ。詳細はHPでご確認を。https://industry.airliquide.jp/hydrogen-japan#self 電話が繋がらない時は052-746-8710,2022-05-19T09:30:02Z
134.5561498,0003200001,34.1148437,0,トウアゴウセイスイソステーショントクシマ,Toagosei H2 Station Tokushima,固定式（オフサイト）,771-0143,営業日：　 定休日：年中無休,,82,トクシマケントクシマシカワウチチョウナカジマ,東亞合成水素ステーション徳島,088-679-8733,徳島県徳島市川内町中島620番地の1,9:00～17:00,クレジットカード,ご利用の際は、来所前日16時00分までに電話にてご予約ください。,2022-05-19T08:00:03Z
134.5640197,0003200002,34.0647826,0,トウアゴウセイスイソシャトルステーションバンダイ,Toagosei H2 Shuttle Station Bandai,移動式,770-0941,営業日：火曜日・水曜日 定休日：　,,90,トクシマケントクシマシバンダイチョウ,東亞合成H2水素シャトルステーション万代,088-679-8733,徳島県徳島市万代町4丁目19番地4～6,10:00～14:00,クレジットカード,ご利用の際は、来所前日16時00分までに電話にてご予約ください。大雨・強風時は営業を中止する場合があります、水素ステーション徳島をご利用ください。,2022-05-18T05:00:02Z
139.0276592,0000200020,37.9013675,0,イワタニスイソステーションニイガタチュウオウ,Iwatani Hydrogen Refueling Station in Niigatachuou,固定式（オフサイト）,950-0961,営業日：月曜～水曜、金曜～日曜 （祝日営業） 定休日：木曜日、GW、年末年始,http://www.iwatani.co.jp/jpn/,82MPa,ニイガタケンニイガタシチュウオウクヒガシデキジマジュウイチバンジュウニゴウ,イワタニ水素ステーション新潟中央,025-385-7635,新潟県新潟市中央区東出来島11-12,9:00～12:00・13:00～17:00,クレジットカード,"
",2022-05-18T08:00:10Z
135.4471212,0000200019,34.7884594,0,イワタニスイソステーションオオサカイタミクウコウ,Iwatani hydrogen station Osaka Itami Airport,固定式（オフサイト）,560-0036,営業日：月～水曜日、金～日曜日 定休日：木曜日、年末年始（12/30～1/3）,http://www.iwatani.co.jp/jpn/,82 MPa,オオサカフトヨナカシホタルガイケニシマチサンチョウメ,イワタニ水素ステーション 大阪伊丹空港,06-4865-3650,大阪府豊中市蛍池西町三丁目64番2,9:00-17:00,クレジットカード,"営業時間: 9:00～17:00 定休日: 木曜日
　　　　　
     
　　　　　
　　　　　",2022-05-18T08:00:09Z
135.441451,0000200001,34.740006,0,イワタニスイソステーションアマガサキ,Iwatani Hydrogen Refueling Station in Amagasaki,固定式（オフサイト）,661-0965,営業日：月～土 定休日：日曜日、年末年始,http://www.iwatani.co.jp/jpn/,70MPa,ヒョウゴケンアマガサキシツギヤ,イワタニ水素ステーション尼崎,06-6494-1855,兵庫県尼崎市次屋3-3-16,9:00～12:00・13:00～17:00,クレジットカード,"【営業時間変更のご案内】
※営業日　12～13時を閉店させて頂きます。
何卒よろしくお願いいたします。
定休日：日曜",2022-05-19T08:00:05Z
135.5563772,0000300021,34.8354883,0,ドクタードライブセルフイバラキインターテンスイソステーション,ENEOS ENEOS Dr.Drive self Ibaraki Inter Station,固定式（オンサイト）,567-0065,営業日：月、木～日　 定休日：火、水、祝日 ,http://www.noe.jx-group.co.jp,82MPa,オオサカフイバラキシカミゴオリ,ENEOS Ｄｒ．Ｄｒｉｖｅセルフ茨木インター店,072-665-8165,大阪府茨木市上郡１丁目６－１１,13:00-16:30,現金／クレジットカード,"※営業日：平日（月曜日～金曜日）、日曜日　営業時間：１３：００～１６：３０
",2022-05-19T15:00:06Z
135.7459863,0000600002,34.9657541,0,カミトバスイソステーション,KAMITOBA SUISO STATION,移動式,601-8127,営業日：月・火・木・金・土・日（祝日の場合も営業） 定休日：水（祝日の場合も休業）、12/31～1/3,,70MPa,キョウトシミナミクキタハナナチョウ,上鳥羽水素ステーション,075-661-8901,京都市南区上鳥羽北花名町１４,9:00～17:00（月・火・木・金）、13:00～17:00（土・日・祝）,クレジットカードのみ対応可,"営業日　月・火・木・金：9～17時
　　　　土・日・祝　　：13～17時
定休日　水（祝日含む）、年末年始（12/31～1/3）",2022-05-19T07:59:27Z
135.7161505,0000300024,34.9307432,0,ドクタードライブセルフヒシカワステーション,ENEOS Dr.Drive Self Hishikawa Station,固定式（オフサイト）,612-8487,営業日：月曜日～土曜日 定休日：日祝日,http://www.noe.jx-group.co.jp,82MPa,キョウトフキョウトシフシミクハヅカシヒシカワチョウ,ENEOS Ｄｒ．Ｄｒｉｖｅセルフ菱川店,075-874-1521,京都府京都市伏見区羽束師菱川町２１２－３,月～金 08:30-19:30　土 9:30～11:45・13:00～17:00,現金／クレジットカード,※6/1（水）より、平日のみ開店閉店時刻を30分前倒し、営業時間を月曜日～金曜日（8～19時）土曜日（9:30～11:45、13～17時）といたします。,2022-05-19T15:00:06Z
135.5806263,0000600001,34.7879975,0,キタオオサカスイソステーション,KITAOSAKA SUISO STATION,固定式（オンサイト）,567-0853,営業日：月・火・木・金・土・日（祝日の場合も営業） 定休日：水（祝日の場合も休業）、12/31～1/3,,70MPa,オオサカフイバラギシミヤジマ,北大阪水素ステーション,072-634-1220,大阪府茨木市宮島2-4-8,9:00～17:00（月・火・木・金）、13:00～17:00（土・日・祝）,クレジットカードのみ対応可,"営業日　月・火・木・金：9～17時
　　　　土・日・祝　　：13～17時
定休日　水（祝日含む）、年末年始（12/31～1/3）",2022-05-19T08:00:52Z
135.6386835,0000300020,34.8028494,0,ヒラカタハシリダニスイソステーション,Hirakatahashiridani ,固定式（オンサイト）,573-0063,営業日：月、水～土、第２・４日曜、祝日（火、第１・３・５日曜除く） 定休日：火、第１・３・５日曜（祝日含む）,https://www.eneos.co.jp,82MPa,オオサカフヒラカタシハシリダニ,ENEOS　枚方走谷水素ステーション,072-807-5439,大阪府枚方市走谷１－２７－４５,11:00～17:00,クレジット,※4/25（月）より当面の間、設備メンテナンスのため休業いたします。営業再開時期については判り次第ご案内いたします。,2022-05-19T15:00:07Z
135.5031124,0000200013,34.6837113,0,イワタニスイソステーションオオサカホンマチ,Iwatani Hydrogen Refueling Station in Osaka Honmachi,移動式,541-0053,営業日：月～金 定休日：土、日、祝日、年末年始,http://www.iwatani.co.jp/jpn/,82,オオサカフオオサカシチュウオウクホンマチ,イワタニ水素ステーション 大阪本町,06-6484-5474,大阪府大阪市中央区本町３－１－７,月～金 ： 9:00～12:00、 ： 13:00～16:00,クレジットカード,"≪営業時間のお知らせ≫
営業時間: 9:00～16:00
 ※12時～13時を休店させて頂きます。
定休日: 土・日・祝日



　

",2022-05-19T07:00:03Z
135.7369632,0000200030,34.8795087,0,イワタニスイソステーションキョウトクミヤマ,Iwatani Hydrogen Refueling Station in KyotoKumiyama,固定式（オフサイト）,613-0036,営業日：月・火曜日、木～日曜日 定休日：水曜日、年末年始,http://www.iwatani.co.jp/jpn/,82,キョウトフクゼグンクミヤマチョウタイムカイノ,イワタニ水素ステーション 京都久御山,070-2900-4381,京都府久世郡久御山町田井向野16-1,9:00～12:00・13:00～17:00,クレジットカード,"≪営業時間のお知らせ≫
営業時間：9時～17時　　※12時～13時を休店させて頂きます。
定休日　：水曜日
【法定点検による休業のお知らせ】
6月13日（月～6月18日（土）の期間、法定検査実施の為休業させていただきます。
　",2022-05-19T08:00:05Z
137.2254901,0001300005,36.1382899,0,セイリュウパワーエナジーオーケービーヒダタカヤマスイソステーション,okb hidatakayama suiso station,固定式（オフサイト）,506-0058,営業日：月・火・木・金曜日　第一・四土曜日 定休日：水曜日、第二・三土曜日、日曜日、祝祭日,http://www.sp-ene.co.jp/,82MPa,ギフケンタカヤマシヤマダマチ,清流パワーエナジーOKBひだ高山水素ステーション,058-214-2399,岐阜県高山市山田町1645-1,月・金曜 13時～16時(ラスト15時半）、火・木・第一・四土曜 10時～12時(ラスト11時半),現金・請求書掛売（初回利用時は現金）,"【予約・問合せ】
◆5月2日メンテナンスの為、14時迄の営業とさせていただきます。ご迷惑おかけして申し訳ありません。
◆ご予約後の来場をお願い致します。
◆お問合せ・予約電話番号　058-214-2399
",2022-05-19T03:00:02Z
135.2340811,0000200008,34.4357433,0,イワタニスイソステーションカンサイコクサイクウコウ,Iwatani Hydrogen Refueling Station in Kansaikokusaikuko,固定式（オフサイト）,549-0011,営業日：月～水曜日、金～日曜日 定休日：木曜日、年末年始,http://www.iwatani.co.jp/jpn/,82MPa,オオサカフセンナングンタジリチョウセンシュウクウコウナカ,イワタニ水素ステーション 関西国際空港,072-456-6151,大阪府泉南郡田尻町泉州空港中11-1,9:00～12:00・13:00～17:00,クレジットカード,"【営業時間変更のお知らせ】
4月1日より12時～13時を閉店させて頂きます。
何卒宜しくお願い致します。",2022-05-18T08:00:06Z
135.8884948,0000200007,34.9847838,0,イワタニスイソステーションオオツ,Iwatani Hydrogen Refueling Station in Otsu,固定式（オンサイト）,520-0846,営業日：月～水曜日、金～日曜日 定休日：木曜日、年末年始,http://www.iwatani.co.jp/jpn/,82MPa,シガケンオオツシフジミダイ,イワタニ水素ステーション 大津,077-537-0647,滋賀県大津市富士見台５番９号,9：00～17:00,クレジットカード,"営業時間: 9:00～17:00 定休日: 木曜日
",2022-05-18T08:00:07Z
135.535932,0000200012,34.681762,0,イワタニスイソステーションオオサカモリノミヤ,Iwatani Hydrogen Refueling Station in Osaka Morinomiya,固定式（オフサイト）,536-0025,営業日：月～水、金～日、祝 定休日：木曜日、年末年始,http://www.iwatani.co.jp/jpn/,82MPa,オオサカフオオサカシジョウトウクモリノミヤ,イワタニ水素ステーション　大阪森之宮,06-6923-8830,大阪府大阪市城東区森之宮１－６－１０２, 9：00～21:00　,クレジットカード,"【営業時間】９：００～２１：００
【定休日】　木曜日

",2022-05-18T12:00:02Z
135.4675818,0000200014,34.6217567,0,イワタニスイソステーションオオサカスミノエ,Iwatani Hydrogen Refueling Station in Osaka Suminoe,固定式（オフサイト）,559-0021,営業日：月～土 定休日：日曜日、年末年始,http://www.iwatani.co.jp/jpn/,82MPa,オオサカシスミノエクシバタニ,イワタニ水素ステーション 大阪住之江,06-6681-0636,大阪府大阪市住之江区柴谷1-1-64,月～土 ： 9:00～12:00・13:00～17:00,クレジットカード,"【お知らせ】
≪営業時間変更のお知らせ≫
営業日12時～13時を閉店させて頂きます。
何卒宜しく御願い致します。

",2022-05-19T08:00:04Z
135.5614572,0000200031,34.5368444,0,イワタニスイソステーションサカイミハラ,Iwatani Hydrogen Refueling Station in SakaiMihara,固定式（オフサイト）,587-0002,営業日：月・火曜日、木～日曜日 定休日：水曜日,http://www.iwatani.co.jp/jpn/,82,オオサカフサカイシミハラククロヤマ,イワタニ水素ステーション 堺美原,070-2900-4375,大阪府堺市美原区黒山150-1,9:00～12:00・13:00～17:00,クレジットカード,"≪営業時間のお知らせ≫
営業時間: 9:00～17:00 ※12時～13時を休店させて頂きます。定休日: 水曜日
",2022-05-19T08:00:06Z
135.1967445,0000200021,34.2292633,0,イワタニスイソステーションワカヤマオオダ,Iwatani hydrogen station Wakayama-Oda,固定式（オフサイト）,640-8323,営業日：月〜水、金～日 定休日：木、年末年始,http://www.iwatani.co.jp/jpn/,82,ワカヤマケンワカヤマシオオダヨンチョウメ,イワタニ水素ステーション 和歌山太田,073-471-1077,和歌山県和歌山市太田4-4-9,月〜水、金～日;9:00～12:00・13:00～17:00,クレジットカード,"≪営業時間変更のお知らせ≫
12時～13時を閉店させて頂きます。
何卒宜しく御願い致します。
",2022-05-18T08:00:04Z
135.2113759,0000200047,34.1995131,0,イワタニスイソステーションワカヤマミナミインター,Iwatani Hydrogen Refueling Station in Wakayamaminamiinter,固定式（オフサイト）,641-0004,営業日：月～火、木～日 定休日：水、年末年始,http://www.iwatanigas.co.jp/,82MPa,ワカヤマケンワカヤマシワダ,イワタニ水素ステーション 和歌山南インター,080-8303-2366,和歌山県和歌山市和田159番-1,9:00～12:00、13:00～17:00,クレジットカード,"営業時間: 9:00～17:00 ※12時～13時を休店させて頂きます。定休日: 水曜日
",2022-05-19T08:00:06Z
135.8181008,0000200038,34.6681425,0,イワタニスイソステーションナラダイアンジ,Iwatani Hydrogen Refueling Station in NaraDaianji,固定式（オフサイト）,630-8133,営業日：月～水曜日、金～日曜日 定休日：木曜日,http://www.iwatani.co.jp/jpn/,82,ナラケンナラシダイアンジ,イワタニ水素ステーション 奈良大安寺,080-8508-8719,奈良県奈良市大安寺1-24-8,9:00～12:00・13:00～17:00,クレジットカードのみ,"≪営業時間についてのお知らせ≫
営業日の12時～13時は閉店いたします。

※お支払方法：クレジットカードのみ",2022-05-18T08:00:08Z
136.6056114,0001300003,35.2905928,0,セイリュウパワーエナジーオーケービーオオガキヨウロウスイソステーション,okb oogakiyourousuiso staion,移動式,503-1382,営業日：月・火・金・土（第二・四）曜日 定休日：水・木・日曜日・祝祭日,http://www.sp-ene.co.jp/,82MPa,ギフケンヨウロウグンヨウロウチョウフナツキ,清流パワーエナジーOKB大垣養老水素ステーション,058-214-2399,岐阜県養老郡養老町船附2828-2,月・火・金　11時～16時（ラスト15：30）、土　11時～13時（ラスト12：30）,①現金　②振込（初回は現金のみ。振込は法人のお客様に限ります。初回来店時、新規取引申込書(HPからﾀﾞｳﾝﾛｰﾄﾞ可)ご記入提出後、請求書発行、お振込となります。）,"【予約・問合せ】
◆ご予約後の来場をお願い致します。
◆予約電話番号　058-214-2399",2022-05-17T07:00:02Z
